thresh,biocontrol,type,period,rep,pdoug,avg_pop
0.2,50,100% multi-capsid morphotype,2,9,18,3.9757855456255067
0.2,50,100% multi-capsid morphotype,2,10,18,2.8399677752746344
0.2,50,100% multi-capsid morphotype,2,11,18,2.755369592807331
0.2,50,100% multi-capsid morphotype,2,12,18,3.1343524117833272
0.2,50,100% multi-capsid morphotype,2,13,18,3.807752541884433
0.2,50,100% multi-capsid morphotype,2,14,18,3.299345930227651
0.2,50,100% multi-capsid morphotype,2,15,18,2.3567654753031118
0.2,50,100% multi-capsid morphotype,2,16,18,3.3038403380677495
0.2,50,100% multi-capsid morphotype,2,17,18,3.4798570394228165
0.2,50,100% multi-capsid morphotype,2,18,18,3.632830350780623
0.2,50,100% multi-capsid morphotype,2,19,18,2.4444748555727607
0.2,50,100% multi-capsid morphotype,2,20,18,3.2686796348096987
0.2,50,100% multi-capsid morphotype,3,1,18,3.128653613806673
0.2,50,100% multi-capsid morphotype,3,2,18,3.230431605138437
0.2,50,100% multi-capsid morphotype,3,3,18,3.8376393604173846
0.2,50,100% multi-capsid morphotype,3,4,18,4.354727530325204
0.2,50,100% multi-capsid morphotype,3,5,18,3.310125016756474
0.2,50,100% multi-capsid morphotype,3,6,18,3.113878246795668
0.2,50,100% multi-capsid morphotype,3,7,18,3.407600831666564
0.2,50,100% multi-capsid morphotype,3,8,18,2.9974064578825503
0.2,50,100% multi-capsid morphotype,3,9,18,3.7082461098391675
0.2,50,100% multi-capsid morphotype,3,10,18,3.6598559038086402
0.2,50,100% multi-capsid morphotype,3,11,18,4.079971013197606
0.2,50,100% multi-capsid morphotype,3,12,18,3.136087928919819
0.2,50,100% multi-capsid morphotype,3,13,18,3.3355497157494995
0.2,50,100% multi-capsid morphotype,3,14,18,4.43986377267669
0.2,50,100% multi-capsid morphotype,3,15,18,5.100998781310936
0.2,50,100% multi-capsid morphotype,3,16,18,3.8779933836315723
0.2,50,100% multi-capsid morphotype,3,17,18,3.427744423478177
0.2,50,100% multi-capsid morphotype,3,18,18,3.3981855876199765
0.2,50,100% multi-capsid morphotype,3,19,18,4.734590767488187
0.2,50,100% multi-capsid morphotype,3,20,18,4.513780885647075
0.2,100,100% multi-capsid morphotype,1,1,18,4.078906171433803
0.2,100,100% multi-capsid morphotype,1,2,18,3.319576587348305
0.2,100,100% multi-capsid morphotype,1,3,18,4.208298890134454
0.2,100,100% multi-capsid morphotype,1,4,18,3.117536007021273
0.2,100,100% multi-capsid morphotype,1,5,18,3.9794536530395233
0.2,100,100% multi-capsid morphotype,1,6,18,3.6510402504646433
0.2,100,100% multi-capsid morphotype,1,7,18,3.807509447873233
0.2,100,100% multi-capsid morphotype,1,8,18,3.8554035831236573
0.2,100,100% multi-capsid morphotype,1,9,18,3.2284213430008775
0.2,100,100% multi-capsid morphotype,1,10,18,4.503764641527173
0.2,100,100% multi-capsid morphotype,1,11,18,2.7525374052774603
0.2,100,100% multi-capsid morphotype,1,12,18,3.934196522106306
0.2,100,100% multi-capsid morphotype,1,13,18,3.6751042024561844
0.2,100,100% multi-capsid morphotype,1,14,18,3.702124669657993
0.2,100,100% multi-capsid morphotype,1,15,18,3.480064017809837
0.2,100,100% multi-capsid morphotype,1,16,18,3.7688480174750527
0.2,100,100% multi-capsid morphotype,1,17,18,3.5831891869829637
0.2,100,100% multi-capsid morphotype,1,18,18,5.3064336643920855
0.2,100,100% multi-capsid morphotype,1,19,18,3.5928924295322555
0.2,100,100% multi-capsid morphotype,1,20,18,3.1780681494801346
0.2,100,100% multi-capsid morphotype,2,1,18,2.229212475486768
0.2,100,100% multi-capsid morphotype,2,2,18,3.858821024435844
0.2,100,100% multi-capsid morphotype,2,3,18,2.231377906782062
0.2,100,100% multi-capsid morphotype,2,4,18,3.1194035588681617
0.2,100,100% multi-capsid morphotype,2,5,18,3.999853184721117
0.2,100,100% multi-capsid morphotype,2,6,18,3.4464245004253717
0.2,100,100% multi-capsid morphotype,2,7,18,2.6498259209074657
0.2,100,100% multi-capsid morphotype,2,8,18,2.4237017010951636
0.2,100,100% multi-capsid morphotype,2,9,18,2.823303903492482
0.2,100,100% multi-capsid morphotype,2,10,18,3.099509674392337
0.2,100,100% multi-capsid morphotype,2,11,18,4.36460611195211
