model,mean,sd,se_mean,X25.,X75.,X2.5.,X97.5.,params,level,morph,tree,isolate,param,mod_names,desc
3,0.012239842,0.007071313,5.48e-5,0.007660799,0.014675471,0.004560588,0.031170044,nu_bar_M[5],isolate,MNPV,NA,5,nu,mod37,nu and C vary by morph
3,2.877752334,1.021511233,0.007295806,2.19003647,3.627367466,0.719431096,4.691712426,C_M[1],isolate,MNPV,NA,1,C,mod37,nu and C vary by morph
3,2.85102269,1.000765079,0.007549941,2.1844017,3.5815028,0.732833663,4.639228784,C_M[2],isolate,MNPV,NA,2,C,mod37,nu and C vary by morph
3,3.560953573,0.916539508,0.005857136,3.015956227,4.264826643,1.402392197,4.890288801,C_S[3],isolate,SNPV,NA,8,C,mod63,nu and C vary by morph
3,3.400589556,0.892599106,0.006174641,2.84992615,4.065152642,1.374037538,4.833321807,C_S[4],isolate,SNPV,NA,9,C,mod63,nu and C vary by morph
3,2.497835463,0.99221084,0.007464143,1.821426468,3.206221925,0.481585673,4.35079088,C_M[5],isolate,MNPV,NA,5,C,mod37,nu and C vary by morph
3,3.4338563,0.669842013,0.005158233,3.008734341,3.920345171,1.992386979,4.567272609,muC_S,grand,SNPV,NA,NA,C,mod63,nu and C vary by morph
3,0.004265146,0.004018486,2.2e-5,0.001688161,0.005459175,5.14e-4,0.015044572,nu_bar_S[1],isolate,SNPV,NA,6,nu,mod63,nu and C vary by morph
3,0.005859364,0.00362487,2.45e-5,0.003273239,0.007730112,6.75e-4,0.014823914,mu_S,grand,SNPV,NA,NA,nu,mod53,nu and C vary by morph
3,0.005887727,0.003665658,2.32e-5,0.003280952,0.007750662,6.73e-4,0.014858424,mu_S,grand,SNPV,NA,NA,nu,mod63,nu and C vary by morph
3,0.009495635,0.006782968,4.67e-5,0.005086814,0.01181585,0.00241786,0.027077908,nu_bar_S[4],isolate,SNPV,NA,9,nu,mod63,nu and C vary by morph
3,0.010552225,0.007276022,5.03e-5,0.00578421,0.0130282,0.002808105,0.029784221,nu_bar_S[5],isolate,SNPV,NA,10,nu,mod63,nu and C vary by morph
3,0.002988295,0.00279106,1.55e-5,0.001210013,0.003808559,3.79e-4,0.010491108,nu_bar_S[2],isolate,SNPV,NA,7,nu,mod63,nu and C vary by morph
3,0.003893043,0.00413247,2.26e-5,0.001313255,0.005010328,2.87e-4,0.01482284,nu_bar_S[3],isolate,SNPV,NA,8,nu,mod63,nu and C vary by morph
3,0.00296975,0.00279225,1.49e-5,0.001206046,0.003766735,3.66e-4,0.01046798,nu_bar_S[2],isolate,SNPV,NA,7,nu,mod73,nu and C vary by morph
3,0.003889534,0.004060404,2.3e-5,0.001315268,0.005029964,2.79e-4,0.014651337,nu_bar_S[3],isolate,SNPV,NA,8,nu,mod73,nu and C vary by morph
3,3.246061635,1.010014844,0.007268955,2.575138358,4.027013269,1.04649782,4.860575831,C_M[3],isolate,MNPV,NA,3,C,mod37,nu and C vary by morph
3,3.026925585,0.877442099,0.006618326,2.452295299,3.647158697,1.195164289,4.645890166,C_M[4],isolate,MNPV,NA,4,C,mod37,nu and C vary by morph
3,3.499805336,0.928544731,0.006166232,2.940633443,4.210123255,1.353695836,4.890538264,C_S[1],isolate,SNPV,NA,6,C,mod73,nu and C vary by morph
3,3.582838621,0.914310327,0.006171762,3.033003675,4.29004636,1.433487301,4.909449103,C_S[2],isolate,SNPV,NA,7,C,mod73,nu and C vary by morph
3,0.009510469,0.006927267,4.59e-5,0.005038633,0.01175455,0.002349037,0.027566202,nu_bar_S[4],isolate,SNPV,NA,9,nu,mod73,nu and C vary by morph
3,0.010557231,0.007328036,4.96e-5,0.005717918,0.013111704,0.002802806,0.029722598,nu_bar_S[5],isolate,SNPV,NA,10,nu,mod73,nu and C vary by morph
3,3.386107912,0.893852455,0.006496896,2.827892672,4.048787247,1.389528107,4.82654462,C_S[5],isolate,SNPV,NA,10,C,mod73,nu and C vary by morph
3,3.555567166,0.928357036,0.006234958,3.000636028,4.269341067,1.375683662,4.900480902,C_S[3],isolate,SNPV,NA,8,C,mod73,nu and C vary by morph
3,3.495976058,0.931994717,0.00616447,2.935475811,4.206027466,1.319316672,4.887888768,C_S[1],isolate,SNPV,NA,6,C,mod63,nu and C vary by morph
3,3.39029507,0.897100943,0.006371182,2.840518548,4.0547173,1.353642602,4.834679033,C_S[4],isolate,SNPV,NA,9,C,mod73,nu and C vary by morph
5,0.002930229,0.003769288,2e-5,6.68e-4,0.003752301,5.35e-5,0.01309735,"nu_bar_S[1,2]",isolate,SNPV,GR,6,nu,mod35,nu and C vary by morph + tree
5,0.00732398,0.006138569,2.9e-5,0.003312683,0.009371466,9.99e-4,0.023497578,"nu_bar_M[4,2]",isolate,MNPV,GR,4,nu,mod55,nu and C vary by morph + tree
5,0.011016886,0.007380364,4.08e-5,0.006281404,0.013542358000000001,0.003022281,0.029932518,"nu_bar_M[5,2]",isolate,MNPV,GR,5,nu,mod55,nu and C vary by morph + tree
