phiS,phiM,lambda,rho,sigma,ll,pset
60.512294510970285,34.93118244405388,1.384135790226507,0.0102087444499767,0.75,-620.9519051229647,15
56.59213856900189,29.860851754948285,1.3675457637228023,0.0193585079818221,0.75,-621.8724896434929,25
60.512294510970285,37.05331982541312,1.384135790226507,0.0102087444499767,0.75,-623.228937037962,19
53.64990513491859,25.05916944916113,1.363075327572272,0.02030345322615983,0.75,-625.3721571125426,14
60.89092110522985,26.33452635888712,1.3893974822737925,0.01017970036876513,0.75,-625.687686140637,21
56.075517206921155,31.67674435975672,1.3693881312982426,0.03444706444701735,0.75,-626.4530264677444,30
56.075517206921155,30.681627683227692,1.3693881312982426,0.06297637950650162,0.75,-626.6260124929306,27
60.512294510970285,25.865740940507152,1.384135790226507,0.01029992703071328,0.75,-628.0813150612835,5
56.075517206921155,30.681627683227692,1.3693881312982426,0.01884198898563966,0.75,-628.5865900323126,22
56.075517206921155,30.681627683227692,1.3693881312982426,0.01606032518740647,0.75,-628.9330306278521,16
56.075517206921155,36.117834123519096,1.3693881312982426,0.01988852863305654,0.75,-629.5253099123624,26
56.075517206921155,30.681627683227692,1.3693881312982426,0.01030626425311275,0.75,-630.8027731037769,12
56.075517206921155,30.681627683227692,1.3693881312982426,0.03444706444701735,0.75,-630.9667655458435,2
60.89092110522985,26.33452635888712,1.3863360067221393,0.02963703138338122,0.75,-631.3655462425323,23
60.89092110522985,26.33452635888712,1.3893974822737925,0.02963703138338122,0.75,-632.6297311185418,10
60.89092110522985,34.36875917808077,1.3893974822737925,0.02963703138338122,0.75,-633.500402545383,11
