Year,S,Z1,Z2,FracI1,FracI2,nu1,nu2,fecundity,rep,pdoug,sigma,phi
104,1.9109916332191477,8.031760218699086,4.633770811651691,0.03942892043157382,0.0497143341774298,0.00324024947128314,0.14187888150559966,0.6220677625249277,9,7,0.5,30
105,0.46409156858168654,3.3432131204399993,14.114465719435811,0.02794701364123492,0.219153531308464,0.0126605654715685,0.03931429938708655,0.6505033975380311,9,7,0.5,30
106,0.8051620073975821,1.3421642933358984,5.300128333025905,0.04416217557031227,0.18035946303750755,0.05677510399459348,0.00838779847959715,1.4326740886178442,9,7,0.5,30
107,2.752065017025066,2.353277520224122,2.1039750464089844,0.07960897015917963,0.04127356125104787,0.207917528868173,0.00733202545795805,4.235421007686448,9,7,0.5,30
108,5.5785664367631655,16.673611722087703,2.0559182298648917,0.18436978327944323,0.01835997527535423,0.13248362961721682,0.00938346788541827,2.781822345467302,9,7,0.5,30
109,2.2995390717853565,48.41208718654601,4.0241521454736695,0.2580701227572019,0.01964196661467472,0.01667927745744838,0.01226561558415792,0.6673331651900688,9,7,0.5,30
110,0.5283608429446502,23.826609424279805,4.316398481236513,0.19466835297661725,0.04632510453538936,0.00410474504650949,0.01387452503621974,0.3991569044129914,9,7,0.5,30
111,0.573870973107314,6.171778273683672,1.9432676127840949,0.08231820752124694,0.06256928123846853,0.00750023561049098,0.01569601772459621,0.49397166570391665,9,7,0.5,30
112,0.5914878484741614,2.275118141023324,1.1340720476897583,0.05569531738091173,0.03980706697433939,0.03173794424897733,0.02395122864813568,1.0440152403099523,9,7,0.5,30
113,2.4178503768913227,1.9120191434018072,0.9331124891333026,0.0760246972792807,0.036299326564384,0.1169292274099343,0.03625196405927004,2.73138578382447,9,7,0.5,30
114,18.41399646259864,11.110761559267,3.4467301750893813,0.13801235611918866,0.04075810580226891,0.153674085846506,0.04721452589938672,3.398674053512674,9,7,0.5,30
115,4.625231390158038,143.90825777640254,62.28031217749606,0.2455040720851548,0.10303089300955112,0.018498414936502,0.02131584263507185,0.7118490093224425,9,7,0.5,30
116,0.21813120986623977,61.69498583226243,39.90574002496821,0.22815401777703817,0.19823788834095316,8.6140656363179e-4,0.0015592507872859,0.2553938568419718,9,7,0.5,30
117,0.04373052028659845,12.733696323258467,8.32431690375654,0.05618239553529573,0.05322917248599039,0.00151622588650232,9.6909134261499e-4,0.28018664470372867,9,7,0.5,30
118,0.01538034128577795,2.588952711679969,1.6801435548922743,0.02970159267716275,0.01145452617487275,0.00799782450085975,0.00125840573182892,0.447517439615268,9,7,0.5,30
119,0.01793645831656323,0.5341472797204563,0.3377757554701685,0.03269538828725871,0.00359196885800528,0.06143464860869914,0.002254803651832,1.5032313037039726,9,7,0.5,30
120,0.1033120946748669,0.13417542398061305,0.06835639627246891,0.04802609371563597,0.0014057569256695,0.4278846782822578,0.00458542097206236,8.370635951995695,9,7,0.5,30
121,2.917293073184846,0.2623572665741853,0.01552745759816512,0.07241781655704622,5.7411856404251e-4,2.099253007710409,0.00937192367655307,39.43361810108924,9,7,0.5,30
122,30.300746902851653,23.660860681538892,0.02265220238072443,0.2541954231406935,2.1670929318595e-4,0.406213453803808,0.01493365845177104,7.461250632579018,9,7,0.5,30
123,10.115457250133687,330.02897405727794,0.494674820748852,0.346507059084143,4.8174089829409e-4,0.00707283349036324,0.02954466786069696,0.5155052355357075,9,7,0.5,30
