Species,Year,Column1,rep,pdoug,sS_DO,sS_GR,sM_DO,sM_GR,phi,rho,sigma
nu1,44,0.00097189671816034,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,45,0.000649751302160707,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,46,0.0008390986919407749,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,47,0.001527320166245692,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,48,0.0032856803350463522,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,49,0.007223801331674321,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,50,0.013165335082128436,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,51,0.020999498545377856,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,52,0.06715235238571186,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,53,0.38787071596167494,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,54,0.6687517552374518,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,55,0.05367756749527934,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,56,0.008195375954425193,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,57,0.003153921856039753,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,58,0.002071538558268956,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,59,0.002328055405618103,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,60,0.004001187102379958,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,61,0.008243324449072529,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,62,0.017511051686972944,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,63,0.035641520990617,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,64,0.06691425626066955,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,65,0.18239619302508078,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,66,0.030338094766889392,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,67,0.004902054867491572,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,68,0.0055709055072980735,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,69,0.009916817806608785,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,70,0.01952620337304493,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,71,0.031143767563320608,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,72,0.049709262024897234,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,73,0.02148601540137306,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,74,0.004802787390526397,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,75,0.004203836487806039,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,76,0.005867380044625336,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,77,0.010462903447995938,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,78,0.019303777556982416,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,79,0.03205923827845224,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,80,0.06253828820067804,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,81,0.022169633823810556,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,82,0.009922689397605145,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,83,0.013525404653092932,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,84,0.023268484322482984,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,85,0.039261326181272295,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,86,0.04110302831036,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,87,0.010077412726206098,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,88,0.0019485595248862697,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,89,0.0014907993356484072,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,90,0.0024357175573023367,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,91,0.004900106889077488,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,92,0.010241858263554338,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
nu1,93,0.01676380623595087,6,2,6.0,60.0,1.0e-5,1400.0,22.5,0.11,0.5
